experiment_type,experiment_name,experiment_code,country,age,age_num,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,FR,32,32.0,2.370625754874766,0.034519563959683294,0.08183296736987197,0.08647816823757667,8.647816823757669,8.746302943654438,-1.8354703324061417,18.81441392643104,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,33,33.0,2.370625754874766,0.04577424572973048,0.10851360583686535,0.11679240260422681,11.67924026042268,11.760157206266886,-2.4265900947979424,25.683797579723322,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,34,34.0,2.370625754874766,0.03886606697492,0.09213689936143292,0.09805618242609974,9.805618242609974,9.900483640782243,-2.0641811576677216,21.421674031303773,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,35,35.0,2.370625754874766,0.04710416481397702,0.11166634626987966,0.12044722421231442,12.044722421231441,12.121765702004739,-2.4962046883599487,26.521328230386242,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,36,36.0,2.370625754874766,0.04421455719095333,0.10481616801725725,0.1125259437435745,11.25259437435745,11.337559395235175,-2.344884895119237,24.708628209698304,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,37,37.0,2.370625754874766,0.038410659072225115,0.09105729765833094,0.09683552922000706,9.683552922000707,9.77898127423793,-2.040242832833483,21.145834705703216,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,38,38.0,2.370625754874766,0.04765541652473206,0.11297315777281433,0.12196672378823646,12.196672378823646,12.271995270399639,-2.525045388283731,26.87011885823121,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,39,39.0,2.370625754874766,0.046783740390516255,0.11090673987913267,0.11956522305438216,11.956522305438217,12.034534612633019,-2.479436619989628,26.319028598510297,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,40,40.0,2.370625754874766,0.03669488240350448,0.08698983329784857,0.0922525756023199,9.22525756023199,9.32241898308439,-1.950001192192885,20.112209520811696,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,41,41.0,2.370625754874766,0.0228980458937431,0.05428269733201177,0.05629864044665688,5.6298640446656885,5.719481542038474,-1.2213251899822364,12.114901095919105,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,42,42.0,2.370625754874766,0.012396163892489325,0.029386665385183825,0.029970222656938203,2.99702226569382,3.0567983511607055,-0.6630436159496322,6.38635108529042,0.0,0.0
