country,year,n_obs,C_tr,mean_baseline_residual,rmse_baseline_residual,mae_baseline_residual,mean_residual_after_climate,rmse_residual_after_climate,mae_residual_after_climate,rmse_change,rmse_change_pct,mae_change,mae_change_pct
FR,2024,66,0.2024904633266138,0.03882414405917852,0.05341612023938729,0.04078078191693752,0.03585174587793517,0.048645290563434314,0.03718400775916814,-0.004770829675952978,-8.931441771832626,-0.003596774157769378,-8.819777328191753
FR,2025,66,1.9354070955394047,0.0427118361659679,0.058645904348002945,0.04476129380639737,0.014301606685344805,0.029296146612808063,0.024088318904799635,-0.02934975773519488,-50.04570747350803,-0.020672974901597738,-46.18493600969843
IT,2004,66,-1.2207825033263722,-0.016043177867331917,0.05902147235404623,0.049480379265960495,-0.012058331429465531,0.04335103674188509,0.03398865802736945,-0.015670435612161138,-26.5503976555523,-0.015491721238591043,-31.308816683319986
IT,2005,66,-1.055265486894248,-0.015796407018129514,0.060374279216593905,0.04738943159088622,-0.012351836912483379,0.04276858504458762,0.03212045378615835,-0.017605694172006282,-29.160918193069456,-0.01526897780472787,-32.220217234393566
IT,2006,66,-0.383302798656411,-0.008243024012829137,0.04640008187250171,0.038122168746236515,-0.00699185700503834,0.040988067419929816,0.032544315314115016,-0.005412014452571896,-11.66380367052594,-0.005577853432121499,-14.631521803628116
IT,2007,66,-0.3892501194353856,-0.007737680830277348,0.04104770813399938,0.03197710090661532,-0.006467100732967025,0.03614074207720954,0.02745818276027273,-0.004906966056789842,-11.954299715762824,-0.004518918146342588,-14.131731827533272
IT,2008,66,-0.8745605001166931,-0.010724305393486403,0.047550577893991815,0.03298552489317401,-0.007869587797114573,0.04067502460283388,0.02567697338607102,-0.0068755532911579376,-14.459452641114353,-0.007308551507102988,-22.156844648591335
IT,2009,66,-0.3051324385809503,-0.0021721144137283378,0.04599785624005952,0.030740406463284266,-0.001176109058438842,0.04341125542186654,0.028645205725304584,-0.00258660081819298,-5.623307322614549,-0.0020952007379796828,-6.815787359487745
IT,2010,66,-0.9687788791065958,-0.006835982641377102,0.035344847016807394,0.02421258110531045,-0.0036737198673209175,0.03728850606210658,0.027782190449116652,0.0019436590452991884,5.499129885538698,0.0035696093438062,14.742787347951483
IT,2011,66,-0.4279851442649627,0.001605528940315426,0.044600830189554026,0.03020531896081379,0.0030025468963698135,0.04238239117877147,0.028326656339627842,-0.002218439010782558,-4.973985913163875,-0.0018786626211859496,-6.219641724767719
IT,2012,66,0.5885154169236353,0.010892725614315984,0.04386102817946907,0.033251720672264166,0.008971708925128859,0.043229549212338125,0.033487305481718965,-0.0006314789671309426,-1.4397267764610495,0.00023558480945479882,0.7084890787360191
IT,2013,66,-0.4528531598686005,0.010101666551323283,0.04404298965002002,0.02891805749795896,0.011579858035934107,0.045665866607748504,0.030539984736625454,0.0016228769577284821,3.684756576754649,0.001621927238666495,5.608700511024888
IT,2014,66,-1.0165270703512272,0.004920629733529079,0.038210457667123714,0.027534365786538128,0.008238750909288507,0.046474985923061186,0.034829242368303946,0.008264528255937473,21.628969555756658,0.007294876581765818,26.493715665433513
IT,2015,66,0.7440621923207003,0.023921290811747133,0.04735895914310297,0.0399168786016512,0.021492542391335412,0.042941029029431636,0.0377934358698608,-0.004417930113671337,-9.328604753161542,-0.0021234427317903953,-5.319661271566853
IT,2016,66,-0.9123130339337624,0.008282319111917898,0.03412692968774134,0.02446873887477722,0.011260267545471183,0.04524753504271032,0.03453629307178542,0.011120605354968977,32.586011858440294,0.0100675541970082,41.14455693254384
IT,2017,66,0.3869477270915699,0.036271197588614815,0.05873979009962337,0.04083204367453616,0.035008132900400564,0.05788569573465193,0.0385250124170377,-0.0008540943649714416,-1.454030331948561,-0.002307031257498461,-5.650050915617483
IT,2018,66,0.043581375195179,0.00433194225762623,0.041839936440883435,0.030068061648311314,0.004189685068298379,0.041571597077011004,0.029771904194421647,-0.00026833936387243157,-0.6413474462409238,-0.0002961574538896672,-0.9849569199160533
IT,2019,66,0.2908674134920231,0.006042274612214696,0.037964113793666134,0.029107381751820264,0.005092832780121837,0.035509691667957026,0.026825456954259246,-0.0024544221257091076,-6.465111075814442,-0.0022819247975610184,-7.839677292232977
IT,2022,66,1.5729396684908017,0.01924478030476959,0.04724772748588617,0.037022818280863845,0.014110431624406342,0.04224046452424638,0.03404245001904624,-0.005007262961639787,-10.597891640683788,-0.0029803682618176064,-8.050084786111713
IT,2023,66,0.9241610625066964,-0.059807182146953825,0.07067390249717838,0.05994933612207821,-0.06282380460665506,0.06733651188605326,0.06282380460665506,-0.0033373906111251184,-4.7222390347814205,0.002874468484576849,4.794829551946008
IT,2024,66,2.3755533619095246,0.000887683593750324,0.04402509704635654,0.03763080442902585,-0.0068665357912533614,0.015302883472902866,0.012068922237226052,-0.028722213573453677,-65.24054573510745,-0.0255618821917998,-67.92807801919615
IT,2025,66,1.0801229166050783,0.0008578352039892264,0.048553493765011224,0.04153889687689513,-0.00266787387601788,0.027157072638569445,0.023857972789412554,-0.02139642112644178,-44.06772709291733,-0.017680924087482577,-42.56474152378636
