country,age,age_num,lambda_xr,n_obs,weighted,intercept,r_squared,rmse_residual_after_climate,mean_C_tr,sd_C_tr,status
ES,80,80.0,-0.016322359065892727,20,False,0.0,0.4000653447770268,0.019222705250564513,-1.1102230246251566e-17,0.961712079266725,estimated
ES,81,81.0,-0.01826100180196255,20,False,0.0,0.4002765884021613,0.02149636743602365,-1.1102230246251566e-17,0.961712079266725,estimated
ES,82,82.0,-0.017966093037375695,20,False,0.0,0.34529715872269817,0.023791637037879915,-1.1102230246251566e-17,0.961712079266725,estimated
ES,83,83.0,-0.01845517084037204,20,False,0.0,0.30968331624504775,0.02649893507332779,-1.1102230246251566e-17,0.961712079266725,estimated
ES,84,84.0,-0.017377193738358086,20,False,0.0,0.3150717998470788,0.02464010027077452,-1.1102230246251566e-17,0.961712079266725,estimated
ES,85,85.0,-0.014196355926147354,20,False,0.0,0.21976212250566285,0.02572521686708636,-1.1102230246251566e-17,0.961712079266725,estimated
FR,20,20.0,0.045301589958004616,20,False,0.0,0.2456686715936297,0.07268296745137647,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,21,21.0,0.05264272235747465,20,False,0.0,0.3629160324328332,0.0638626039577836,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,22,22.0,0.03402998624177507,20,False,0.0,0.12108944099931751,0.08394483869444667,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,23,23.0,0.027366742709560465,20,False,0.0,0.2195309921354327,0.047246108360691055,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,24,24.0,0.05338521608923528,20,False,0.0,0.4243400165425639,0.05693247347542035,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,25,25.0,0.024678232862403393,20,False,0.0,0.0849546974650992,0.07415743137952326,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,26,26.0,0.009663791121711372,20,False,0.0,0.015234299744924407,0.07114031182331107,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,27,27.0,0.026671813654293827,20,False,0.0,0.08063429092061081,0.08246123499510047,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,28,28.0,0.028679621376060945,20,False,0.0,0.07557867206287505,0.09183786629250378,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,29,29.0,0.03581709355275066,20,False,0.0,0.15684731055193057,0.07603576845901841,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,30,30.0,0.025746336542969688,20,False,0.0,0.10564584486987161,0.06858940218268655,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,31,31.0,0.06239361033811383,20,False,0.0,0.47129376381217547,0.060508238188228855,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,32,32.0,0.03451956395968329,20,False,0.0,0.2135010426819376,0.06066349088453207,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,33,33.0,0.04577424572973048,20,False,0.0,0.4342797455526546,0.04783549748397213,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,34,34.0,0.03886606697491999,20,False,0.0,0.4582680375250051,0.03869154413966091,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,35,35.0,0.04710416481397701,20,False,0.0,0.36753421859463786,0.05657726592718798,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,36,36.0,0.04421455719095332,20,False,0.0,0.403724555892208,0.04919932914515964,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,37,37.0,0.03841065907222511,20,False,0.0,0.2366953554297575,0.06315661791260826,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,38,38.0,0.04765541652473205,20,False,0.0,0.4300873728886123,0.05022860133759032,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,39,39.0,0.04678374039051625,20,False,0.0,0.3312270279817947,0.06086735575129418,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,40,40.0,0.03669488240350448,20,False,0.0,0.38022565850351053,0.042895783800510554,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,41,41.0,0.022898045893743096,20,False,0.0,0.14565999058873358,0.05077578856338343,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,42,42.0,0.012396163892489322,20,False,0.0,0.07041921961566455,0.041238066538762844,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,43,43.0,0.013773155970123392,20,False,0.0,0.09671275119182365,0.0385405189346012,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,44,44.0,0.00020078994947195483,20,False,0.0,2.306822941489095e-05,0.03827743712762399,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,45,45.0,0.0038192635919970072,20,False,0.0,0.010141156651224281,0.03454900484926152,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,46,46.0,-0.008293661601956345,20,False,0.0,0.055464479780288345,0.031337259085708766,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,47,47.0,-0.011129693784406605,20,False,0.0,0.10183684064428233,0.03026365636906074,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,48,48.0,-0.017094181787691547,20,False,0.0,0.3273120365115715,0.022438156872838993,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,49,49.0,-0.024994619759029658,20,False,0.0,0.36499740437756123,0.030185781080810506,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,50,50.0,-0.01547293484674551,20,False,0.0,0.26253099195291474,0.023744734372559962,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,51,51.0,-0.028729083331244746,20,False,0.0,0.33948289701348944,0.036691703424977865,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,52,52.0,-0.024412613982259898,20,False,0.0,0.3032719254195737,0.03387995748547631,-2.2204460492503132e-17,0.9156152586894606,estimated
FR,53,53.0,-0.021175008558886182,20,False,0.0,0.2981893703179117,0.029744077776212866,-2.2204460492503132e-17,0.9156152586894606,estimated
