country,age,age_num,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact,lambda_xr
FR,65,65.0,2.370625754874766,0.057122674169451784,0.05935824236660939,5.935824236660939,6.027561612001309,-1.2848106044489827,12.787673408623546,0.00041390984780170835,0.0240960320506049
FR,66,66.0,2.370625754874766,0.07425385234926207,0.07806391733103418,7.806391733103419,7.90508302934112,-1.6668999483629543,16.932432450265054,0.0005770165873737585,0.0313224692664257
FR,67,67.0,2.370625754874766,0.07535667831285417,0.07928293111316415,7.928293111316415,8.027081962555638,-1.6914463630228749,17.204412299604055,0.0006126131993248219,0.0317876738485173
FR,68,68.0,2.370625754874766,0.06303315877497054,0.06576334018892281,6.576334018892281,6.6716112231062885,-1.416803977042158,14.20080129553325,0.000530960938476128,0.0265892491235085
FR,69,69.0,2.370625754874766,0.07010054355771582,0.07348924000675142,7.348924000675142,7.44686294110144,-1.5744016594195553,15.913792201319922,0.0006280038206365708,0.0295704808798127
FR,70,70.0,2.370625754874766,0.06648914471806133,0.06953217181605795,6.953217181605794,7.050011752398078,-1.4939015220054475,15.0352760414318,0.000628918719181929,0.0280470861253989
FR,71,71.0,2.370625754874766,0.06666479361529522,0.06972418889995927,6.972418889995927,7.069279590205824,-1.4978183588002847,15.077850290454808,0.0006659554101904563,0.0281211800210181
FR,72,72.0,2.370625754874766,0.06030587653901539,0.0628015086313873,6.28015086313873,6.37394193214309,-1.3559200558425744,13.546553284749274,0.0006252977221877042,0.0254388008798973
FR,73,73.0,2.370625754874766,0.04865949883570373,0.050274875073692465,5.027487507369247,5.112116667634714,-1.0955025984766054,10.794617793654137,0.0005423608035733956,0.0205260145915669
FR,74,74.0,2.370625754874766,0.052165576743718856,0.05402537149769831,5.402537149769831,5.490399305260207,-1.1739720881935867,11.615981006784093,0.0006194051793508728,0.0220049818645772
FR,75,75.0,2.370625754874766,0.040506160272759974,0.04162101848930822,4.162101848930822,4.23766217098025,-0.9127818183275127,8.90784370674833,0.000517535164296615,0.0170866954387323
FR,76,76.0,2.370625754874766,0.039345912842536364,0.04039721244350614,4.0397212443506145,4.113817047547719,-0.8867526164454853,8.641973726780726,0.0005514485042383457,0.0165972687850997
FR,77,77.0,2.370625754874766,0.04134068593621172,0.04250243647562333,4.250243647562334,4.326830741054644,-0.9314994921378106,9.09947694698161,0.0006353372734910266,0.0174387230254299
FR,78,78.0,2.370625754874766,0.03184886896489084,0.03253514755508234,3.253514755508234,3.317120005928076,-0.7183976583480023,6.939608027678612,0.0005448753909568043,0.0134347941253061
