age,country,year,mx,age_num,log_mx,a_xr_initial,y_centered_initial,a_xr,b_x,k_t,log_mx_hat_baseline,mx_hat_baseline,baseline_residual
71,IT,2009,0.01639,71.0,-4.111083886226399,-4.186727063116378,0.07564317688997946,-4.186727063116378,0.010527324752195758,6.991142300128128,-4.113129037734117,0.016356514220206606,0.0020451515077182236
72,IT,2009,0.01807,72.0,-4.013502174378,-4.0851712958374184,0.0716691214594185,-4.0851712958374184,0.011559102396732036,6.991142300128128,-4.004359966120113,0.018235957154765815,-0.009142208257887141
73,IT,2009,0.02038,73.0,-3.893201251187558,-3.9810533490046245,0.08785209781706627,-3.9810533490046245,0.01169743913549465,6.991142300128128,-3.8992748874612935,0.020256594432366614,0.00607363627373525
74,IT,2009,0.02281,74.0,-3.7805562426858406,-3.868654925201927,0.08809868251608632,-3.868654925201927,0.012327970030389813,6.991142300128128,-3.782468332447757,0.022766426903641987,0.00191208976191648
75,IT,2009,0.02552,75.0,-3.668292820505548,-3.761860417848466,0.09356759734291797,-3.761860417848466,0.012695972475206428,6.991142300128128,-3.673101067635788,0.025397588062499032,0.004808247130239973
76,IT,2009,0.02826,76.0,-3.5663079017257555,-3.642511729493465,0.07620382776770951,-3.642511729493465,0.01295867437417588,6.991142300128128,-3.5519157929225775,0.02866966187272385,-0.014392108803177983
77,IT,2009,0.03268,77.0,-3.4209920089903347,-3.5287998488751007,0.10780783988476594,-3.5287998488751007,0.013218506789362525,6.991142300128128,-3.4363873869154573,0.03218073211949662,0.015395377925122578
78,IT,2009,0.03637,78.0,-3.3140110199832393,-3.4063348187809064,0.09232379879766706,-3.4063348187809064,0.013120427703430103,6.991142300128128,-3.3146080416676833,0.036348292801815556,0.0005970216844439769
79,IT,2009,0.04107,79.0,-3.19247735101367,-3.2760880840813775,0.08361073306770761,-3.2760880840813775,0.012917105267199382,6.991142300128128,-3.1857827630526523,0.04134586911226481,-0.006694587961017628
80,IT,2009,0.04649,80.0,-3.068518043279644,-3.147688530125818,0.079170486846174,-3.147688530125818,0.013361763206868073,6.991142300128128,-3.0542745421659867,0.04715691872035632,-0.014243501113657242
81,IT,2009,0.05352,81.0,-2.927699863162164,-3.019397697716698,0.09169783455453384,-3.019397697716698,0.01261299801953086,6.991142300128128,-2.9312184337309235,0.05333201701280413,0.0035185705687594826
82,IT,2009,0.0607,82.0,-2.8018115809166844,-2.885073744863876,0.08326216394719177,-2.885073744863876,0.01222347467468327,6.991142300128128,-2.799617694011153,0.0608333151208427,-0.0021938869055313504
