country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual
ES,2004,84,84.0,0.08367,-2.4808747886746296,0.08220830994481894,-2.4984988878104706,0.017624099135840954
ES,2004,85,85.0,0.09575,-2.3460146509213815,0.09309670253235953,-2.3741165138831932,0.02810186296181172
ES,2005,20,20.0,0.00047,-7.66277786326017,0.000415420185311279,-7.786220055234665,0.1234421919744948
ES,2005,21,21.0,0.00049,-7.621105166859602,0.0003967467664165853,-7.8322123487697075,0.2111071819101058
ES,2005,22,22.0,0.00046,-7.6842840684811335,0.0004086136058377115,-7.802740577462328,0.1184565089811942
ES,2005,23,23.0,0.00047,-7.66277786326017,0.0004149492837760346,-7.787354252970145,0.12457638970997476
ES,2005,24,24.0,0.00046,-7.6842840684811335,0.000422131001803637,-7.770194861287632,0.08591079280649883
ES,2005,25,25.0,0.00049,-7.621105166859602,0.0004290653925442174,-7.7539012204795545,0.13279605361995284
ES,2005,26,26.0,0.00045,-7.706262975199909,0.0004178996408989369,-7.7802692478098,0.0740062726098909
ES,2005,27,27.0,0.00049,-7.621105166859602,0.0004491311820254144,-7.708195548026571,0.08709038116696899
ES,2005,28,28.0,0.00043,-7.751725349276666,0.00043969789832384794,-7.729422661584594,-0.022302687692072
ES,2005,29,29.0,0.0005,-7.600902459542082,0.0004747108361341617,-7.652804705336255,0.051902245794172686
ES,2005,30,30.0,0.00052,-7.5616817463888015,0.0004960050532526399,-7.608924443281889,0.04724269689308791
ES,2005,31,31.0,0.00062,-7.385791079925137,0.0005246172008968124,-7.5528417024742724,0.1670506225491355
ES,2005,32,32.0,0.0007,-7.264430222920869,0.0005383954224683113,-7.526917281771847,0.26248705885097756
ES,2005,33,33.0,0.00069,-7.278818960372969,0.0005881815615984788,-7.438474879499128,0.15965591912615906
ES,2005,34,34.0,0.00076,-7.182192124683898,0.0006385567901667207,-7.356299943351001,0.17410781866710323
ES,2005,35,35.0,0.00089,-7.024289095238089,0.0007057793660890661,-7.256207881934997,0.2319187866969079
ES,2005,36,36.0,0.0009,-7.013115794639964,0.0007649737889448815,-7.17566898754187,0.16255319290190684
ES,2005,37,37.0,0.001,-6.907755278982137,0.0008345728218835444,-7.088590554579147,0.18083527559701018
ES,2005,38,38.0,0.00114,-6.776727016575733,0.0009203156392772872,-6.990793860590826,0.21406684401509324
ES,2005,39,39.0,0.00119,-6.733801971858699,0.001016498774516044,-6.891391130488293,0.15758915862959366
ES,2005,40,40.0,0.00129,-6.653113060608557,0.0011407029018858509,-6.776110625981829,0.12299756537327244
ES,2005,41,41.0,0.00142,-6.557098407368968,0.001253948131553463,-6.681458200024413,0.12435979265544539
ES,2005,42,42.0,0.00153,-6.482487543577793,0.001379608363861594,-6.58595561439344,0.10346807081564702
ES,2005,43,43.0,0.0016,-6.437751649736401,0.0015417245719875844,-6.474853637183062,0.037101987446661155
ES,2005,44,44.0,0.00187,-6.281816848115642,0.0017088186307451236,-6.3719530064341425,0.09013615831850075
ES,2005,45,45.0,0.00198,-6.224658434275693,0.0019012555589445572,-6.265240790558329,0.040582356282635956
ES,2005,46,46.0,0.00218,-6.12843040218114,0.0020843083736370813,-6.1733181940430315,0.044887791861891735
ES,2005,47,47.0,0.00239,-6.036461913038718,0.002326601767014701,-6.063346545098229,0.026884632059511304
ES,2005,48,48.0,0.00254,-5.975591197951692,0.0025670070220535977,-5.965014641587098,-0.01057655636459387
ES,2005,49,49.0,0.00281,-5.874570795636482,0.002801418895256655,-5.877629241848593,0.0030584462121110434
ES,2005,50,50.0,0.00311,-5.773132552790995,0.0030942378140497682,-5.778213666808416,0.005081114017420951
ES,2005,51,51.0,0.00326,-5.726028083603521,0.0034127523482410126,-5.680236173002598,-0.045791910600923025
ES,2005,52,52.0,0.00362,-5.621281253144457,0.003683677833792928,-5.603843614523558,-0.01743763862089942
ES,2005,53,53.0,0.00382,-5.567504856363653,0.003972248682708009,-5.5284229258194895,-0.03908193054416387
