country,year,age,age_num,a_xr,b_x,k_t_projection,lambda_xr,C_tr,log_mx_projected_baseline,mx_projected_baseline,climate_component,log_mx_projected_climate_adjusted,mx_projected_climate_adjusted,absolute_mx_impact,relative_mx_impact,relative_mx_impact_pct,k_projection_method
IT,2039,55,55.0,-5.70713256976226,0.0111230087130196,-34.5289857657458,0.0,4.584573397715322,-6.091198779286381,0.0022626948166594146,0.0,-6.091198779286381,0.0022626948166594146,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2040,55,55.0,-5.70713256976226,0.0111230087130196,-35.90464256916175,0.0,3.851363765529417,-6.1065002218969004,0.0022283358629375206,0.0,-6.1065002218969004,0.0022283358629375206,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2041,55,55.0,-5.70713256976226,0.0111230087130196,-37.280299372578156,0.0,3.7811376342905216,-6.1218016645074265,0.0021944986489094384,0.0,-6.1218016645074265,0.0021944986489094384,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2042,55,55.0,-5.70713256976226,0.0111230087130196,-38.655956175994106,0.0,2.063712368906586,-6.137103107117946,0.002161175251973409,0.0,-6.137103107117946,0.002161175251973409,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2043,55,55.0,-5.70713256976226,0.0111230087130196,-40.031612979410056,0.0,2.8572831000607963,-6.152404549728467,0.002128357869832105,0.0,-6.152404549728467,0.002128357869832105,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2044,55,55.0,-5.70713256976226,0.0111230087130196,-41.40726978282646,0.0,2.859185427227394,-6.167705992338992,0.002096038818665859,0.0,-6.167705992338992,0.002096038818665859,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2045,55,55.0,-5.70713256976226,0.0111230087130196,-42.78292658624241,0.0,2.2643530086653723,-6.183007434949513,0.0020642105313336055,0.0,-6.183007434949513,0.0020642105313336055,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2046,55,55.0,-5.70713256976226,0.0111230087130196,-44.15858338965836,0.0,4.775249337091543,-6.198308877560033,0.0020328655556010643,0.0,-6.198308877560033,0.0020328655556010643,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2047,55,55.0,-5.70713256976226,0.0111230087130196,-45.534240193074766,0.0,4.04045086812966,-6.213610320170558,0.0020019965523959066,0.0,-6.213610320170558,0.0020019965523959066,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2048,55,55.0,-5.70713256976226,0.0111230087130196,-46.909896996490716,0.0,3.980001894749367,-6.228911762781078,0.001971596294089433,0.0,-6.228911762781078,0.001971596294089433,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2049,55,55.0,-5.70713256976226,0.0111230087130196,-48.285553799906666,0.0,2.620547377369998,-6.244213205391599,0.0019416576628042417,0.0,-6.244213205391599,0.0019416576628042417,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2050,55,55.0,-5.70713256976226,0.0111230087130196,-49.66121060332307,0.0,3.9371446244148633,-6.259514648002124,0.0019121736487476893,0.0,-6.259514648002124,0.0019121736487476893,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2051,55,55.0,-5.70713256976226,0.0111230087130196,-51.03686740673902,0.0,4.407943101948051,-6.274816090612644,0.0018831373485706532,0.0,-6.274816090612644,0.0018831373485706532,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2052,55,55.0,-5.70713256976226,0.0111230087130196,-52.41252421015497,0.0,3.6588612303116506,-6.290117533223165,0.001854541963751132,0.0,-6.290117533223165,0.001854541963751132,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2053,55,55.0,-5.70713256976226,0.0111230087130196,-53.788181013571375,0.0,4.552768215210977,-6.30541897583369,0.0018263807990024842,0.0,-6.30541897583369,0.0018263807990024842,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2054,55,55.0,-5.70713256976226,0.0111230087130196,-55.163837816987325,0.0,3.774825883732602,-6.3207204184442105,0.001798647260705821,0.0,-6.3207204184442105,0.001798647260705821,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2055,55,55.0,-5.70713256976226,0.0111230087130196,-56.539494620403275,0.0,3.503224955380588,-6.33602186105473,0.001771334855366138,0.0,-6.33602186105473,0.001771334855366138,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2056,55,55.0,-5.70713256976226,0.0111230087130196,-57.91515142381968,0.0,4.152606288438156,-6.351323303665255,0.0017444371880919551,0.0,-6.351323303665255,0.0017444371880919551,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2057,55,55.0,-5.70713256976226,0.0111230087130196,-59.29080822723563,0.0,4.16369999026402,-6.366624746275776,0.0017179479610980582,0.0,-6.366624746275776,0.0017179479610980582,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2058,55,55.0,-5.70713256976226,0.0111230087130196,-60.666465030652034,0.0,4.14045077183339,-6.381926188886301,0.0016918609722308825,0.0,-6.381926188886301,0.0016918609722308825,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2059,55,55.0,-5.70713256976226,0.0111230087130196,-62.042121834067984,0.0,4.266570529079909,-6.397227631496822,0.0016661701135164118,0.0,-6.397227631496822,0.0016661701135164118,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2060,55,55.0,-5.70713256976226,0.0111230087130196,-63.417778637483934,0.0,4.856649627661132,-6.412529074107342,0.001640869369730013,0.0,-6.412529074107342,0.001640869369730013,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2030,56,56.0,-5.447873319087934,0.0097378469097369,-22.148074535000887,0.0,3.3356493148354733,-5.6635478782552156,0.003470183244323721,0.0,-5.6635478782552156,0.003470183244323721,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2031,56,56.0,-5.447873319087934,0.0097378469097369,-23.523731338416837,0.0,3.1768723982451736,-5.676943813607218,0.0034240068723016275,0.0,-5.676943813607218,0.0034240068723016275,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2032,56,56.0,-5.447873319087934,0.0097378469097369,-24.899388141832787,0.0,3.509483966110703,-5.690339748959221,0.00337844495121281,0.0,-5.690339748959221,0.00337844495121281,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2033,56,56.0,-5.447873319087934,0.0097378469097369,-26.275044945249192,0.0,3.4856777973581137,-5.703735684311227,0.0033334893047988635,0.0,-5.703735684311227,0.0033334893047988635,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2034,56,56.0,-5.447873319087934,0.0097378469097369,-27.650701748665142,0.0,4.777604081491072,-5.717131619663229,0.0032891318655996955,0.0,-5.717131619663229,0.0032891318655996955,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2035,56,56.0,-5.447873319087934,0.0097378469097369,-29.026358552081092,0.0,1.3399618528623516,-5.730527555015232,0.003245364673505705,0.0,-5.730527555015232,0.003245364673505705,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2036,56,56.0,-5.447873319087934,0.0097378469097369,-30.402015355497497,0.0,5.565286479249426,-5.743923490367239,0.003202179874329368,0.0,-5.743923490367239,0.003202179874329368,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2037,56,56.0,-5.447873319087934,0.0097378469097369,-31.777672158913447,0.0,3.0401353448249377,-5.757319425719242,0.0031595697183957956,0.0,-5.757319425719242,0.0031595697183957956,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
